------Początek: 2025-06-04 22:18:21------
Czas: 22:18:21.902 | Pozycja: (335,90, 311,04) | Pręskość: (2,41, 2,44)
Czas: 22:18:21.902 | Pozycja: (337,53, 359,83) | Pręskość: (2,48, 2,61)
Czas: 22:18:21.902 | Pozycja: (335,90, 311,04) | Pręskość: (2,41, 2,44)
Czas: 22:18:21.902 | Pozycja: (337,53, 359,83) | Pręskość: (2,48, 2,61)
Czas: 22:18:21.902 | Pozycja: (335,90, 311,04) | Pręskość: (2,41, 2,44)
Czas: 22:18:21.902 | Pozycja: (337,53, 359,83) | Pręskość: (2,48, 2,61)
Czas: 22:18:21.902 | Pozycja: (335,90, 311,04) | Pręskość: (2,41, 2,44)
Czas: 22:18:21.902 | Pozycja: (337,53, 359,83) | Pręskość: (2,48, 2,61)
Czas: 22:18:21.902 | Pozycja: (335,90, 311,04) | Pręskość: (2,41, 2,44)
Czas: 22:18:21.902 | Pozycja: (337,53, 359,83) | Pręskość: (2,48, 2,61)
Czas: 22:18:21.902 | Pozycja: (335,90, 311,04) | Pręskość: (2,41, 2,44)
Czas: 22:18:21.902 | Pozycja: (337,53, 359,83) | Pręskość: (2,48, 2,61)
Czas: 22:18:21.902 | Pozycja: (335,90, 311,04) | Pręskość: (2,41, 2,44)
Czas: 22:18:22.004 | Pozycja: (352,65, 375,78) | Pręskość: (2,48, 2,61)
Czas: 22:18:22.004 | Pozycja: (350,60, 325,93) | Pręskość: (2,41, 2,44)
Czas: 22:18:22.004 | Pozycja: (352,65, 375,78) | Pręskość: (2,48, 2,61)
Czas: 22:18:22.004 | Pozycja: (350,60, 325,93) | Pręskość: (2,41, 2,44)
Czas: 22:18:22.004 | Pozycja: (352,65, 375,78) | Pręskość: (2,48, 2,61)
Czas: 22:18:22.004 | Pozycja: (350,60, 325,93) | Pręskość: (2,41, 2,44)
Czas: 22:18:22.004 | Pozycja: (352,65, 375,78) | Pręskość: (2,48, 2,61)
Czas: 22:18:22.004 | Pozycja: (350,60, 325,93) | Pręskość: (2,41, 2,44)
Czas: 22:18:22.004 | Pozycja: (352,65, 375,78) | Pręskość: (2,48, 2,61)
Czas: 22:18:22.004 | Pozycja: (350,60, 325,93) | Pręskość: (2,41, 2,44)
Czas: 22:18:22.004 | Pozycja: (352,65, 375,78) | Pręskość: (2,48, 2,61)
Czas: 22:18:22.004 | Pozycja: (350,60, 325,93) | Pręskość: (2,41, 2,44)
Czas: 22:18:22.004 | Pozycja: (352,65, 375,78) | Pręskość: (2,48, 2,61)
Czas: 22:18:22.004 | Pozycja: (350,60, 325,93) | Pręskość: (2,41, 2,44)
